Bus_ID,From,To,Distance_km,Traffic_Density,Is_Peak_Hour,Weather,Stops,Speed,Actual_Travel_Time,Is_Late,Is_Fastest_Route
SRT-B-0130,Rander,Rander,10.09,2,0,Foggy,2,52.19,11.6,0,1
SRT-B-0131,Vesu,Varachha,43.14,7,1,Rainy,8,38.65,66.97,1,0
SRT-B-0132,Katargam,Vesu,33.25,1,1,Cloudy,9,27.99,71.28,1,0
SRT-B-0133,Varachha,Udhna,24.94,1,1,Rainy,2,15.9,94.13,1,0
SRT-B-0134,Udhna,Chikuwadi,42.37,5,1,Cloudy,2,36.42,69.8,1,0
SRT-B-0135,Rander,Rander,31.82,2,0,Sunny,3,47.02,40.6,0,1
SRT-B-0136,Chikuwadi,Piplod,34.68,2,1,Cloudy,9,34.47,60.37,1,0
SRT-B-0137,Piplod,Chikuwadi,42.37,8,0,Sunny,9,23.36,108.82,1,0
SRT-B-0138,Katargam,Pandesara,9.21,1,0,Cloudy,9,52.26,10.57,0,1
SRT-B-0139,Rander,Katargam,42.81,7,1,Cloudy,8,39.47,65.08,1,0
SRT-B-0140,Piplod,Vesu,31.14,7,0,Sunny,9,23.65,78.99,0,0
SRT-B-0141,Rander,Godadara,36.47,5,0,Rainy,1,51.98,42.1,0,1
SRT-B-0142,Piplod,Varachha,46.41,2,1,Cloudy,1,37.67,73.92,1,0
SRT-B-0143,Chikuwadi,Pandesara,48.65,7,1,Cloudy,4,15.29,190.96,1,0
SRT-B-0144,Adajan,Katargam,32.02,8,0,Cloudy,4,23.27,82.57,1,0
SRT-B-0145,Piplod,Adajan,26.75,4,0,Foggy,1,58.63,27.37,0,1
SRT-B-0146,Rander,Godadara,29.84,9,1,Foggy,1,10.88,164.6,1,0
SRT-B-0147,Udhna,Chikuwadi,49.07,8,0,Rainy,1,13.2,222.96,1,0
SRT-B-0148,Godadara,Udhna,4.8,8,0,Sunny,6,25.92,11.11,1,0
SRT-B-0149,Godadara,Chikuwadi,46.37,7,1,Foggy,9,35.26,78.9,1,0
SRT-B-0150,Katargam,Varachha,3.51,6,0,Cloudy,3,20.19,10.43,0,0
SRT-B-0151,Udhna,Piplod,20.18,4,1,Cloudy,4,41.03,29.51,1,1
SRT-B-0152,Varachha,Chikuwadi,33.91,5,0,Cloudy,9,21.51,94.57,0,0
SRT-B-0153,Godadara,Vesu,48.04,5,0,Foggy,9,21.36,134.94,0,0
SRT-B-0154,Katargam,Varachha,32.86,8,1,Sunny,2,17.27,114.15,1,0
SRT-B-0155,Adajan,Varachha,4.08,8,1,Rainy,9,17.87,13.7,1,0
SRT-B-0156,Rander,Piplod,11.13,8,1,Cloudy,4,17.69,37.75,1,0
SRT-B-0157,Varachha,Vesu,5.26,4,1,Sunny,9,18.06,17.47,1,0
SRT-B-0158,Pandesara,Godadara,29.6,3,0,Cloudy,1,33.25,53.41,0,0
SRT-B-0159,Pandesara,Udhna,14.85,1,0,Cloudy,4,53.83,16.55,0,1
SRT-B-0160,Piplod,Vesu,38.9,4,0,Foggy,3,58.0,40.24,0,1
SRT-B-0161,Pandesara,Godadara,7.3,1,1,Cloudy,9,32.35,13.54,1,0
SRT-B-0162,Pandesara,Godadara,37.53,2,0,Cloudy,1,32.02,70.33,0,0
SRT-B-0163,Godadara,Rander,12.96,3,1,Foggy,9,37.47,20.75,1,0
SRT-B-0164,Pandesara,Pandesara,2.19,5,1,Cloudy,6,29.06,4.52,1,0
SRT-B-0165,Varachha,Varachha,21.23,4,0,Foggy,5,22.63,56.28,0,0
SRT-B-0166,Udhna,Godadara,35.06,9,0,Rainy,8,14.59,144.17,1,0
SRT-B-0167,Godadara,Vesu,34.95,7,1,Foggy,2,23.92,87.68,1,0
SRT-B-0168,Adajan,Rander,27.39,3,0,Cloudy,6,52.16,31.51,0,1
SRT-B-0169,Katargam,Rander,30.95,1,1,Cloudy,5,41.44,44.81,1,1
SRT-B-0170,Godadara,Katargam,34.72,4,0,Rainy,8,32.88,63.36,0,0
SRT-B-0171,Udhna,Rander,34.44,2,0,Rainy,7,51.13,40.42,0,1
SRT-B-0172,Udhna,Vesu,14.19,6,1,Cloudy,2,24.65,34.54,1,0
SRT-B-0173,Chikuwadi,Godadara,22.84,8,1,Sunny,7,20.24,67.7,1,0
SRT-B-0174,Vesu,Vesu,40.45,1,0,Foggy,6,46.89,51.75,0,1
SRT-B-0175,Rander,Piplod,8.04,4,0,Cloudy,5,46.69,10.33,0,1
SRT-B-0176,Katargam,Udhna,35.96,8,1,Foggy,7,17.18,125.56,1,0
SRT-B-0177,Vesu,Varachha,45.67,3,1,Foggy,1,28.68,95.53,1,0
SRT-B-0178,Vesu,Piplod,37.62,5,0,Cloudy,5,39.38,57.32,0,0
SRT-B-0179,Katargam,Udhna,48.34,2,1,Sunny,1,32.44,89.42,1,0
SRT-B-0180,Adajan,Vesu,37.4,9,1,Rainy,6,10.29,218.07,1,0
SRT-B-0181,Pandesara,Adajan,23.19,4,0,Foggy,8,30.31,45.91,0,0
SRT-B-0182,Piplod,Varachha,18.18,6,1,Foggy,2,21.47,50.8,1,0
SRT-B-0183,Adajan,Vesu,10.99,3,1,Rainy,2,18.51,35.61,1,0
SRT-B-0184,Rander,Katargam,19.91,8,0,Rainy,2,17.79,67.13,1,0
SRT-B-0185,Pandesara,Varachha,40.07,6,1,Cloudy,2,15.45,155.62,1,0
SRT-B-0186,Godadara,Adajan,34.5,1,1,Sunny,6,36.71,56.38,1,0
SRT-B-0187,Pandesara,Adajan,27.64,1,1,Sunny,7,40.53,40.92,1,1
SRT-B-0188,Adajan,Varachha,24.9,9,0,Rainy,3,35.89,41.62,1,0
SRT-B-0189,Katargam,Chikuwadi,38.4,4,1,Cloudy,8,29.49,78.12,1,0
SRT-B-0190,Varachha,Rander,5.2,5,1,Foggy,8,38.55,8.09,1,0
SRT-B-0191,Chikuwadi,Katargam,19.77,8,0,Foggy,7,29.34,40.43,1,0
SRT-B-0192,Chikuwadi,Pandesara,26.02,6,0,Sunny,4,46.25,33.76,0,1
SRT-B-0193,Vesu,Godadara,41.89,6,1,Foggy,2,34.59,72.67,1,0
SRT-B-0194,Chikuwadi,Adajan,43.53,9,0,Foggy,1,18.94,137.87,1,0
SRT-B-0195,Adajan,Chikuwadi,41.54,4,0,Cloudy,8,37.14,67.1,0,0
SRT-B-0196,Piplod,Rander,17.02,1,0,Cloudy,6,40.76,25.05,0,1
SRT-B-0197,Rander,Chikuwadi,44.32,9,1,Sunny,3,20.75,128.13,1,0
SRT-B-0198,Pandesara,Rander,7.22,3,0,Rainy,2,50.56,8.57,0,1
SRT-B-0199,Udhna,Godadara,8.05,3,0,Foggy,5,44.68,10.81,0,1
SRT-B-0200,Chikuwadi,Pandesara,46.28,2,1,Cloudy,2,36.81,75.44,1,0
SRT-B-0201,Rander,Chikuwadi,7.26,3,0,Rainy,4,36.15,12.05,0,0
SRT-B-0202,Adajan,Chikuwadi,9.74,2,1,Rainy,5,24.32,24.03,1,0
SRT-B-0203,Godadara,Varachha,31.69,9,0,Sunny,7,33.55,56.68,1,0
SRT-B-0204,Pandesara,Rander,37.59,5,0,Foggy,2,46.87,48.12,0,1
SRT-B-0205,Godadara,Udhna,16.9,6,1,Sunny,8,23.97,42.31,1,0
SRT-B-0206,Katargam,Pandesara,17.02,1,1,Sunny,3,19.53,52.29,1,0
SRT-B-0207,Katargam,Vesu,13.54,1,1,Foggy,6,24.07,33.75,1,0
SRT-B-0208,Varachha,Vesu,49.35,9,0,Foggy,1,12.22,242.32,1,0
SRT-B-0209,Vesu,Adajan,17.25,8,1,Sunny,3,19.43,53.26,1,0
SRT-B-0210,Rander,Godadara,26.23,3,0,Sunny,8,50.8,30.98,0,1
SRT-B-0211,Piplod,Pandesara,19.1,8,0,Rainy,8,14.93,76.76,1,0
SRT-B-0212,Vesu,Chikuwadi,15.37,4,1,Foggy,3,17.03,54.17,1,0
SRT-B-0213,Piplod,Chikuwadi,49.69,1,0,Foggy,6,47.55,62.71,0,1
SRT-B-0214,Godadara,Adajan,49.95,7,0,Foggy,8,22.04,136.01,0,0
SRT-B-0215,Udhna,Chikuwadi,44.62,4,1,Sunny,2,32.68,81.93,1,0
SRT-B-0216,Rander,Pandesara,26.36,5,1,Sunny,2,20.18,78.39,1,0
SRT-B-0217,Chikuwadi,Piplod,48.64,3,0,Rainy,4,57.55,50.71,0,1
SRT-B-0218,Godadara,Pandesara,23.3,3,0,Rainy,5,54.73,25.54,0,1
SRT-B-0219,Godadara,Pandesara,10.42,3,0,Sunny,6,24.76,25.25,0,0
SRT-B-0220,Adajan,Katargam,26.86,9,1,Rainy,2,21.0,76.74,1,0
SRT-B-0221,Vesu,Godadara,2.63,3,1,Rainy,4,20.34,7.76,1,0
SRT-B-0222,Vesu,Vesu,3.67,4,1,Cloudy,8,14.78,14.89,1,0
SRT-B-0223,Varachha,Vesu,29.7,1,0,Sunny,9,51.57,34.56,0,1
SRT-B-0224,Rander,Varachha,38.04,3,1,Rainy,4,37.83,60.33,1,0
SRT-B-0225,Vesu,Pandesara,43.69,3,1,Sunny,3,16.4,159.87,1,0
SRT-B-0226,Varachha,Rander,40.3,5,1,Foggy,9,36.3,66.61,1,0
SRT-B-0227,Udhna,Adajan,10.52,8,0,Sunny,7,30.46,20.72,1,0
SRT-B-0228,Vesu,Udhna,29.02,7,1,Foggy,5,19.67,88.53,1,0
SRT-B-0229,Varachha,Vesu,20.73,6,1,Foggy,2,31.58,39.38,1,0
SRT-B-0230,Katargam,Udhna,39.56,2,1,Rainy,7,23.48,101.07,1,0
SRT-B-0231,Varachha,Pandesara,44.77,7,1,Sunny,4,29.43,91.28,1,0
SRT-B-0232,Rander,Rander,15.18,3,0,Cloudy,7,52.25,17.43,0,1
SRT-B-0233,Piplod,Katargam,10.37,6,1,Sunny,7,28.9,21.53,1,0
SRT-B-0234,Rander,Vesu,46.57,1,1,Cloudy,8,26.68,104.73,1,0
SRT-B-0235,Udhna,Katargam,9.91,2,1,Sunny,6,25.64,23.19,1,0
SRT-B-0236,Piplod,Udhna,23.9,1,1,Rainy,3,22.99,62.39,1,0
SRT-B-0237,Chikuwadi,Adajan,6.5,1,0,Foggy,1,54.49,7.16,0,1
SRT-B-0238,Godadara,Udhna,3.82,7,1,Cloudy,4,18.39,12.46,1,0
SRT-B-0239,Udhna,Katargam,44.08,9,0,Cloudy,5,28.61,92.45,1,0
SRT-B-0240,Udhna,Rander,42.82,4,0,Sunny,6,20.82,123.39,0,0
SRT-B-0241,Adajan,Katargam,39.2,8,1,Cloudy,9,23.45,100.3,1,0
SRT-B-0242,Katargam,Piplod,37.94,1,0,Sunny,7,38.33,59.38,0,0
SRT-B-0243,Udhna,Pandesara,15.95,5,0,Foggy,3,38.01,25.18,0,0
SRT-B-0244,Katargam,Rander,44.11,5,0,Sunny,3,29.88,88.58,0,0
SRT-B-0245,Udhna,Vesu,35.67,9,1,Foggy,6,14.46,147.96,1,0
SRT-B-0246,Adajan,Chikuwadi,3.41,5,1,Foggy,2,24.46,8.36,1,0
SRT-B-0247,Piplod,Chikuwadi,39.48,5,0,Foggy,6,51.99,45.56,0,1
SRT-B-0248,Rander,Vesu,37.63,2,0,Cloudy,2,52.31,43.16,0,1
SRT-B-0249,Rander,Rander,41.46,4,1,Sunny,5,30.33,82.01,1,0
SRT-B-0250,Godadara,Varachha,21.01,4,1,Cloudy,2,41.18,30.61,1,1
SRT-B-0251,Udhna,Pandesara,6.11,6,1,Foggy,5,15.56,23.56,1,0
SRT-B-0252,Chikuwadi,Chikuwadi,5.3,4,1,Rainy,5,35.89,8.86,1,0
SRT-B-0253,Adajan,Piplod,3.12,3,0,Foggy,8,22.05,8.49,0,0
SRT-B-0254,Varachha,Chikuwadi,4.72,1,1,Cloudy,1,38.16,7.42,1,0
SRT-B-0255,Varachha,Adajan,43.27,9,1,Sunny,4,16.77,154.78,1,0
SRT-B-0256,Varachha,Udhna,47.83,5,0,Rainy,8,49.88,57.53,0,1
SRT-B-0257,Piplod,Rander,23.57,9,1,Rainy,1,18.23,77.57,1,0
SRT-B-0258,Pandesara,Pandesara,35.74,4,0,Sunny,5,39.83,53.85,0,0
SRT-B-0259,Rander,Udhna,32.2,9,1,Cloudy,4,24.57,78.63,1,0
SRT-B-0260,Vesu,Vesu,26.11,3,1,Sunny,6,37.96,41.27,1,0
SRT-B-0261,Piplod,Adajan,9.73,9,1,Cloudy,2,19.34,30.18,1,0
SRT-B-0262,Katargam,Katargam,11.43,1,1,Rainy,3,22.15,30.97,1,0
SRT-B-0263,Godadara,Rander,43.25,6,0,Foggy,4,25.2,102.97,0,0
SRT-B-0264,Chikuwadi,Pandesara,19.75,9,1,Rainy,5,13.13,90.28,1,0
SRT-B-0265,Varachha,Udhna,14.46,7,0,Cloudy,1,39.81,21.8,0,0
SRT-B-0266,Godadara,Rander,28.58,8,0,Sunny,3,12.87,133.22,1,0
SRT-B-0267,Vesu,Udhna,11.61,5,1,Foggy,3,14.96,46.55,1,0
SRT-B-0268,Katargam,Katargam,34.26,9,1,Foggy,1,24.15,85.12,1,0
SRT-B-0269,Adajan,Udhna,26.59,3,1,Sunny,5,41.73,38.23,1,1
SRT-B-0270,Vesu,Rander,28.01,5,0,Cloudy,9,55.21,30.44,0,1
SRT-B-0271,Piplod,Piplod,41.84,4,1,Foggy,5,37.57,66.83,1,0
SRT-B-0272,Godadara,Katargam,19.9,8,0,Rainy,1,25.78,46.31,1,0
SRT-B-0273,Rander,Adajan,12.91,2,1,Foggy,9,33.92,22.84,1,0
SRT-B-0274,Pandesara,Adajan,14.47,8,1,Foggy,3,19.41,44.73,1,0
SRT-B-0275,Udhna,Piplod,46.92,4,1,Sunny,2,32.89,85.59,1,0
SRT-B-0276,Varachha,Chikuwadi,3.25,3,0,Foggy,8,56.67,3.44,0,1
SRT-B-0277,Pandesara,Piplod,11.25,6,0,Cloudy,7,29.48,22.9,0,0
SRT-B-0278,Pandesara,Adajan,42.42,2,0,Sunny,9,43.9,57.98,0,1
SRT-B-0279,Godadara,Piplod,29.51,8,1,Foggy,3,22.25,79.57,1,0
SRT-B-0280,Varachha,Katargam,41.58,4,0,Rainy,6,24.55,101.61,0,0
SRT-B-0281,Godadara,Katargam,42.5,2,0,Rainy,9,57.1,44.66,0,1
SRT-B-0282,Godadara,Chikuwadi,6.58,7,0,Cloudy,3,48.46,8.15,0,1
SRT-B-0283,Chikuwadi,Katargam,34.65,5,1,Foggy,7,41.6,49.97,1,1
SRT-B-0284,Udhna,Rander,47.94,7,1,Rainy,7,22.54,127.61,1,0
SRT-B-0285,Udhna,Rander,23.86,6,1,Foggy,7,22.28,64.27,1,0
SRT-B-0286,Pandesara,Chikuwadi,2.69,9,0,Cloudy,1,14.82,10.89,1,0
SRT-B-0287,Adajan,Katargam,37.5,3,1,Rainy,8,36.22,62.12,1,0
SRT-B-0288,Katargam,Katargam,21.87,7,1,Rainy,2,20.66,63.51,1,0
SRT-B-0289,Pandesara,Pandesara,45.45,9,1,Foggy,5,22.78,119.73,1,0
SRT-B-0290,Udhna,Piplod,47.02,9,0,Foggy,8,34.95,80.72,1,0
SRT-B-0291,Katargam,Vesu,26.48,7,0,Rainy,5,39.73,39.99,0,0
SRT-B-0292,Adajan,Pandesara,13.4,9,0,Rainy,5,22.78,35.3,1,0
SRT-B-0293,Pandesara,Udhna,23.51,7,1,Rainy,7,41.13,34.29,1,1
SRT-B-0294,Adajan,Katargam,27.17,8,0,Sunny,2,24.64,66.17,1,0
SRT-B-0295,Pandesara,Piplod,44.42,9,0,Cloudy,5,20.28,131.42,1,0
