Bus_ID,Route_Name,Distance_km,Traffic_Density,Weather,Is_Peak_Hour,Actual_Travel_Time,Is_Late
SRT-B-0033,Salt Lake to Esplanade (Kolkata),0.46,8.0,Cloudy,0,33.53,0
SRT-B-0034,MG Road to Whitefield (Bengaluru),6.35,10.0,Sunny,1,71.17,1
SRT-B-0035,T Nagar to Velachery (Chennai),3.18,8.0,Rainy,0,54.6,0
SRT-B-0036,Banjara Hills to Ameerpet (Hyderabad),8.76,4.0,Sunny,1,55.2,0
SRT-B-0037,Station to Adajan (Surat),6.53,5.0,Sunny,0,41.77,0
SRT-B-0038,Vesu to Varachha (Surat),5.64,2.0,Sunny,0,26.8,0
SRT-B-0039,Udhna to Pal (Surat),3.37,1.0,,0,15.23,0
SRT-B-0040,Rander to Piplod (Surat),4.61,,Sunny,1,49.37,0
SRT-B-0041,Shivaji Nagar to Hinjewadi (Pune),6.95,1.0,Rainy,0,39.17,0
SRT-B-0042,Navrangpura to Maninagar (Ahmedabad),5.84,6.0,Sunny,1,53.47,0
SRT-B-0043,Alambagh to Charbagh (Lucknow),7.27,,Sunny,0,60.23,1
SRT-B-0044,Patna Junction to Kankarbagh (Patna),0.75,4.0,Sunny,0,18.5,0
SRT-B-0045,Sector 17 to Mohali (Chandigarh),6.52,3.0,Sunny,0,33.73,0
SRT-B-0046,Connaught Place to Karol Bagh (Delhi),8.49,8.0,Sunny,1,70.3,1
SRT-B-0047,Andheri East to Andheri West (Mumbai),1.58,9.0,Sunny,1,51.27,0
SRT-B-0048,Salt Lake to Esplanade (Kolkata),7.95,3.0,Sunny,0,38.5,0
SRT-B-0049,MG Road to Whitefield (Bengaluru),8.85,4.0,Cloudy,0,45.5,0
SRT-B-0050,T Nagar to Velachery (Chennai),1.2,5.0,Foggy,1,42.0,0
SRT-B-0051,Banjara Hills to Ameerpet (Hyderabad),3.32,3.0,Rainy,1,45.07,0
SRT-B-0052,Station to Adajan (Surat),7.76,6.0,Rainy,1,71.87,1
SRT-B-0053,Vesu to Varachha (Surat),1.12,8.0,Rainy,1,57.73,0
SRT-B-0054,Udhna to Pal (Surat),5.39,9.0,Cloudy,0,-20.0,0
SRT-B-0055,Rander to Piplod (Surat),1.78,2.0,Cloudy,0,13.93,0
SRT-B-0056,Shivaji Nagar to Hinjewadi (Pune),8.95,4.0,Rainy,0,57.83,0
SRT-B-0057,Navrangpura to Maninagar (Ahmedabad),3.2,4.0,Sunny,1,36.67,0
SRT-B-0058,Alambagh to Charbagh (Lucknow),6.6,,Cloudy,0,26.0,0
SRT-B-0059,Patna Junction to Kankarbagh (Patna),,6.0,Sunny,1,53.57,0
SRT-B-0060,Sector 17 to Mohali (Chandigarh),3.78,6.0,Foggy,0,44.6,0
SRT-B-0061,Connaught Place to Karol Bagh (Delhi),3.41,1.0,Cloudy,0,15.37,0
SRT-B-0062,Andheri East to Andheri West (Mumbai),2.08,3.0,Cloudy,1,28.93,0
SRT-B-0063,Salt Lake to Esplanade (Kolkata),0.77,5.0,Rainy,1,44.57,0
SRT-B-0064,MG Road to Whitefield (Bengaluru),,1.0,Cloudy,0,32.67,0
SRT-B-0065,T Nagar to Velachery (Chennai),,4.0,Sunny,0,45.43,0
SRT-B-0066,Banjara Hills to Ameerpet (Hyderabad),7.72,3.0,Sunny,0,37.73,0
SRT-B-0067,Station to Adajan (Surat),8.45,10.0,Foggy,0,380.85,1
SRT-B-0068,Vesu to Varachha (Surat),2.2,6.0,Sunny,0,-20.0,0
SRT-B-0069,Udhna to Pal (Surat),2.94,10.0,Rainy,1,71.8,1
SRT-B-0070,Rander to Piplod (Surat),6.44,7.0,Sunny,1,59.47,0
SRT-B-0071,Shivaji Nagar to Hinjewadi (Pune),7.37,9.0,Cloudy,0,60.57,1
SRT-B-0072,Navrangpura to Maninagar (Ahmedabad),0.44,4.0,Rainy,1,39.47,0
SRT-B-0073,Alambagh to Charbagh (Lucknow),6.44,3.0,Sunny,0,33.47,0
SRT-B-0074,Patna Junction to Kankarbagh (Patna),1.21,7.0,Cloudy,0,32.03,0
SRT-B-0075,Sector 17 to Mohali (Chandigarh),1.73,6.0,Cloudy,0,148.85,1
SRT-B-0076,Connaught Place to Karol Bagh (Delhi),0.72,6.0,Sunny,0,26.4,0
SRT-B-0077,Andheri East to Andheri West (Mumbai),3.21,8.0,Rainy,0,164.10000000000002,1
SRT-B-0078,Salt Lake to Esplanade (Kolkata),5.76,4.0,,0,47.2,0
SRT-B-0079,MG Road to Whitefield (Bengaluru),3.94,3.0,Cloudy,1,35.13,0
SRT-B-0080,T Nagar to Velachery (Chennai),8.79,10.0,Sunny,1,79.3,1
SRT-B-0081,Banjara Hills to Ameerpet (Hyderabad),2.73,10.0,Sunny,0,49.1,0
SRT-B-0082,Station to Adajan (Surat),8.68,7.0,Sunny,1,66.93,1
SRT-B-0083,Vesu to Varachha (Surat),0.9,10.0,Sunny,0,43.0,0
SRT-B-0084,Udhna to Pal (Surat),5.12,9.0,Cloudy,0,53.07,0
SRT-B-0085,Rander to Piplod (Surat),8.61,7.0,,0,56.7,0
SRT-B-0086,Shivaji Nagar to Hinjewadi (Pune),,3.0,Sunny,0,34.27,0
SRT-B-0087,Navrangpura to Maninagar (Ahmedabad),6.92,9.0,Sunny,0,59.07,0
SRT-B-0088,Alambagh to Charbagh (Lucknow),1.21,4.0,Sunny,0,20.03,0
SRT-B-0089,Patna Junction to Kankarbagh (Patna),6.96,5.0,Cloudy,0,43.2,0
SRT-B-0090,Sector 17 to Mohali (Chandigarh),4.13,7.0,,1,51.77,0
SRT-B-0091,Connaught Place to Karol Bagh (Delhi),8.03,4.0,Sunny,1,-20.0,0
SRT-B-0092,Andheri East to Andheri West (Mumbai),4.73,,Cloudy,1,29.77,0
SRT-B-0093,Salt Lake to Esplanade (Kolkata),5.7,7.0,Foggy,1,325.0,1
SRT-B-0094,MG Road to Whitefield (Bengaluru),5.87,,Cloudy,0,35.57,0
SRT-B-0095,T Nagar to Velachery (Chennai),5.93,1.0,Rainy,1,228.85000000000002,1
SRT-B-0096,Banjara Hills to Ameerpet (Hyderabad),5.78,1.0,Foggy,1,41.27,0
SRT-B-0097,Station to Adajan (Surat),2.08,2.0,Sunny,1,24.93,0
SRT-B-0098,Vesu to Varachha (Surat),3.29,10.0,Sunny,1,60.97,1
SRT-B-0099,Udhna to Pal (Surat),0.6,2.0,Sunny,0,10.0,0
SRT-B-0100,Rander to Piplod (Surat),6.36,2.0,Cloudy,1,39.2,0
SRT-B-0101,Shivaji Nagar to Hinjewadi (Pune),6.72,,,0,50.4,0
SRT-B-0102,Navrangpura to Maninagar (Ahmedabad),4.04,8.0,Rainy,1,67.47,1
SRT-B-0103,Alambagh to Charbagh (Lucknow),3.95,2.0,Sunny,0,21.17,0
SRT-B-0104,Patna Junction to Kankarbagh (Patna),7.86,,Sunny,1,56.2,0
SRT-B-0105,Sector 17 to Mohali (Chandigarh),,3.0,,1,44.53,0
SRT-B-0106,Connaught Place to Karol Bagh (Delhi),4.75,9.0,Sunny,1,61.83,1
SRT-B-0107,Andheri East to Andheri West (Mumbai),3.75,9.0,Rainy,0,60.5,1
SRT-B-0108,Salt Lake to Esplanade (Kolkata),8.63,4.0,Cloudy,1,54.77,0
SRT-B-0109,MG Road to Whitefield (Bengaluru),4.26,3.0,Cloudy,0,26.2,0
SRT-B-0110,T Nagar to Velachery (Chennai),2.23,5.0,Rainy,1,49.43,0
SRT-B-0111,Banjara Hills to Ameerpet (Hyderabad),1.18,10.0,Foggy,1,61.93,1
SRT-B-0112,Station to Adajan (Surat),0.88,3.0,Rainy,0,26.93,0
SRT-B-0113,Vesu to Varachha (Surat),1.41,9.0,Rainy,1,62.7,1
SRT-B-0114,Udhna to Pal (Surat),1.27,7.0,Sunny,0,32.23,0
SRT-B-0115,Rander to Piplod (Surat),3.81,10.0,Sunny,0,52.7,0
SRT-B-0116,Shivaji Nagar to Hinjewadi (Pune),2.41,8.0,Sunny,0,40.03,0
SRT-B-0117,Navrangpura to Maninagar (Ahmedabad),7.39,7.0,Foggy,1,70.63,1
SRT-B-0118,Alambagh to Charbagh (Lucknow),3.64,3.0,Rainy,0,36.13,0
SRT-B-0119,Patna Junction to Kankarbagh (Patna),4.05,10.0,Sunny,0,53.5,0
SRT-B-0120,Sector 17 to Mohali (Chandigarh),2.58,2.0,Cloudy,0,-20.0,0
SRT-B-0121,Connaught Place to Karol Bagh (Delhi),,9.0,Rainy,1,62.73,1
SRT-B-0122,Andheri East to Andheri West (Mumbai),2.44,9.0,Sunny,0,44.13,0
SRT-B-0123,Salt Lake to Esplanade (Kolkata),7.87,6.0,Sunny,1,60.23,1
SRT-B-0124,MG Road to Whitefield (Bengaluru),8.81,5.0,Sunny,1,59.37,0
SRT-B-0125,T Nagar to Velachery (Chennai),8.3,4.0,Cloudy,1,53.67,0
SRT-B-0126,Banjara Hills to Ameerpet (Hyderabad),4.9,9.0,Sunny,0,52.33,0
SRT-B-0127,Station to Adajan (Surat),8.96,,Cloudy,1,63.87,1
SRT-B-0128,Vesu to Varachha (Surat),0.79,10.0,Foggy,1,60.63,1
SRT-B-0129,Udhna to Pal (Surat),4.32,5.0,,0,34.4,0
SRT-B-0130,Rander to Piplod (Surat),4.39,10.0,Sunny,0,54.63,0
SRT-B-0131,Shivaji Nagar to Hinjewadi (Pune),3.5,4.0,Foggy,1,45.67,0
SRT-B-0132,Navrangpura to Maninagar (Ahmedabad),5.01,,Sunny,1,30.7,0
SRT-B-0133,Alambagh to Charbagh (Lucknow),2.73,3.0,Rainy,1,43.1,0
SRT-B-0134,Patna Junction to Kankarbagh (Patna),6.64,9.0,Sunny,1,68.13,1
SRT-B-0135,Sector 17 to Mohali (Chandigarh),7.85,5.0,Sunny,0,46.17,0
SRT-B-0136,Connaught Place to Karol Bagh (Delhi),7.37,1.0,Sunny,1,38.57,0
SRT-B-0137,Andheri East to Andheri West (Mumbai),3.78,1.0,Rainy,0,28.6,0
SRT-B-0138,Salt Lake to Esplanade (Kolkata),3.97,1.0,Sunny,0,17.23,0
SRT-B-0139,MG Road to Whitefield (Bengaluru),,5.0,Foggy,1,59.17,0
SRT-B-0140,T Nagar to Velachery (Chennai),5.18,5.0,Rainy,1,59.27,0
SRT-B-0141,Banjara Hills to Ameerpet (Hyderabad),3.65,5.0,Cloudy,0,32.17,0
SRT-B-0142,Station to Adajan (Surat),,4.0,Sunny,1,54.67,0
SRT-B-0143,Vesu to Varachha (Surat),5.72,8.0,Sunny,0,51.07,0
SRT-B-0144,Udhna to Pal (Surat),4.5,,Cloudy,1,37.0,0
SRT-B-0145,Rander to Piplod (Surat),5.15,5.0,Sunny,1,47.17,0
SRT-B-0146,Shivaji Nagar to Hinjewadi (Pune),5.47,7.0,Rainy,1,68.23,1
SRT-B-0147,Navrangpura to Maninagar (Ahmedabad),6.46,3.0,Foggy,1,51.53,0
SRT-B-0148,Alambagh to Charbagh (Lucknow),8.83,2.0,Cloudy,0,37.43,0
SRT-B-0149,Patna Junction to Kankarbagh (Patna),4.16,2.0,Sunny,0,21.87,0
SRT-B-0150,Sector 17 to Mohali (Chandigarh),7.14,7.0,Cloudy,1,61.8,1
SRT-B-0151,Connaught Place to Karol Bagh (Delhi),7.25,10.0,Foggy,0,72.17,1
SRT-B-0152,Andheri East to Andheri West (Mumbai),2.62,8.0,Sunny,1,50.73,0
SRT-B-0153,Salt Lake to Esplanade (Kolkata),3.39,3.0,Cloudy,0,23.3,0
SRT-B-0154,MG Road to Whitefield (Bengaluru),5.43,6.0,,0,42.1,0
SRT-B-0155,T Nagar to Velachery (Chennai),6.39,9.0,Rainy,0,69.3,1
SRT-B-0156,Banjara Hills to Ameerpet (Hyderabad),6.14,2.0,Cloudy,0,28.47,0
SRT-B-0157,Station to Adajan (Surat),7.47,2.0,Sunny,0,32.9,0
SRT-B-0158,Vesu to Varachha (Surat),,1.0,Cloudy,0,7.87,0
SRT-B-0159,Udhna to Pal (Surat),,1.0,,1,40.97,0
SRT-B-0160,Rander to Piplod (Surat),0.74,9.0,Cloudy,1,48.47,0
SRT-B-0161,Shivaji Nagar to Hinjewadi (Pune),4.8,1.0,Sunny,1,30.0,0
SRT-B-0162,Navrangpura to Maninagar (Ahmedabad),6.84,4.0,Sunny,0,38.8,0
SRT-B-0163,Alambagh to Charbagh (Lucknow),4.57,10.0,Rainy,0,67.23,1
SRT-B-0164,Patna Junction to Kankarbagh (Patna),,10.0,Sunny,0,62.0,1
SRT-B-0165,Sector 17 to Mohali (Chandigarh),6.53,7.0,Cloudy,0,49.77,0
SRT-B-0166,Connaught Place to Karol Bagh (Delhi),1.32,10.0,Sunny,0,44.4,0
SRT-B-0167,Andheri East to Andheri West (Mumbai),1.3,7.0,Sunny,0,32.33,0
SRT-B-0168,Salt Lake to Esplanade (Kolkata),3.17,7.0,Sunny,0,38.57,0
SRT-B-0169,MG Road to Whitefield (Bengaluru),2.41,4.0,Cloudy,0,24.03,0
SRT-B-0170,T Nagar to Velachery (Chennai),5.98,2.0,Sunny,0,-20.0,0
SRT-B-0171,Banjara Hills to Ameerpet (Hyderabad),5.45,8.0,,0,50.17,0
SRT-B-0172,Station to Adajan (Surat),,5.0,Sunny,1,42.2,0
SRT-B-0173,Vesu to Varachha (Surat),,8.0,Cloudy,0,49.7,0
SRT-B-0174,Udhna to Pal (Surat),,5.0,Sunny,0,48.1,0
SRT-B-0175,Rander to Piplod (Surat),2.52,4.0,Rainy,0,36.4,0
SRT-B-0176,Shivaji Nagar to Hinjewadi (Pune),7.33,8.0,Rainy,0,68.43,1
SRT-B-0177,Navrangpura to Maninagar (Ahmedabad),4.91,8.0,Cloudy,1,58.37,0
SRT-B-0178,Alambagh to Charbagh (Lucknow),8.11,4.0,Foggy,1,61.03,1
SRT-B-0179,Patna Junction to Kankarbagh (Patna),7.43,1.0,Cloudy,1,38.77,0
SRT-B-0180,Sector 17 to Mohali (Chandigarh),7.46,2.0,Cloudy,0,32.87,0
SRT-B-0181,Connaught Place to Karol Bagh (Delhi),2.81,5.0,Sunny,0,29.37,0
SRT-B-0182,Andheri East to Andheri West (Mumbai),4.06,1.0,Rainy,0,29.53,0
SRT-B-0183,Salt Lake to Esplanade (Kolkata),6.48,6.0,Cloudy,0,45.6,0
SRT-B-0184,MG Road to Whitefield (Bengaluru),,3.0,Sunny,0,27.13,0
SRT-B-0185,T Nagar to Velachery (Chennai),1.56,7.0,Cloudy,0,33.2,0
SRT-B-0186,Banjara Hills to Ameerpet (Hyderabad),6.29,4.0,Sunny,1,46.97,0
SRT-B-0187,Station to Adajan (Surat),,,Cloudy,1,65.13,1
SRT-B-0188,Vesu to Varachha (Surat),1.32,5.0,Rainy,1,139.2,1
SRT-B-0189,Udhna to Pal (Surat),1.47,8.0,Foggy,0,44.9,0
SRT-B-0190,Rander to Piplod (Surat),3.66,1.0,Rainy,0,28.2,0
SRT-B-0191,Shivaji Nagar to Hinjewadi (Pune),7.64,8.0,Rainy,1,79.47,1
SRT-B-0192,Navrangpura to Maninagar (Ahmedabad),7.28,3.0,Sunny,1,138.81,1
SRT-B-0193,Alambagh to Charbagh (Lucknow),6.12,10.0,Foggy,0,68.4,1
SRT-B-0194,Patna Junction to Kankarbagh (Patna),5.46,2.0,Rainy,0,38.2,0
SRT-B-0195,Sector 17 to Mohali (Chandigarh),3.64,3.0,Cloudy,0,24.13,0
SRT-B-0196,Connaught Place to Karol Bagh (Delhi),4.17,,Sunny,1,27.9,0
SRT-B-0197,Andheri East to Andheri West (Mumbai),,5.0,Foggy,1,50.33,0
SRT-B-0198,Salt Lake to Esplanade (Kolkata),1.41,6.0,Sunny,1,38.7,0
SRT-B-0199,MG Road to Whitefield (Bengaluru),6.37,4.0,Rainy,1,-20.0,0
SRT-B-0200,T Nagar to Velachery (Chennai),4.99,7.0,Cloudy,1,54.63,0
SRT-B-0201,Banjara Hills to Ameerpet (Hyderabad),6.87,5.0,Rainy,0,54.9,0
SRT-B-0202,Station to Adajan (Surat),2.16,2.0,Rainy,1,37.2,0
SRT-B-0203,Vesu to Varachha (Surat),3.34,6.0,Cloudy,0,35.13,0
SRT-B-0204,Udhna to Pal (Surat),4.33,4.0,Sunny,1,40.43,0
SRT-B-0205,Rander to Piplod (Surat),1.69,4.0,Rainy,1,43.63,0
SRT-B-0206,Shivaji Nagar to Hinjewadi (Pune),,3.0,Cloudy,1,41.7,0
SRT-B-0207,Navrangpura to Maninagar (Ahmedabad),5.55,4.0,Sunny,1,44.5,0
SRT-B-0208,Alambagh to Charbagh (Lucknow),5.42,8.0,Sunny,0,50.07,0
SRT-B-0209,Patna Junction to Kankarbagh (Patna),5.69,10.0,Cloudy,0,58.97,0
SRT-B-0210,Sector 17 to Mohali (Chandigarh),45.0,8.0,Rainy,1,72.87,1
SRT-B-0211,Connaught Place to Karol Bagh (Delhi),5.26,,Rainy,0,45.53,0
SRT-B-0212,Andheri East to Andheri West (Mumbai),6.0,1.0,Cloudy,1,34.0,0
SRT-B-0213,Salt Lake to Esplanade (Kolkata),4.05,8.0,Rainy,1,67.5,1
SRT-B-0214,MG Road to Whitefield (Bengaluru),1.46,,Foggy,1,42.87,0
SRT-B-0215,T Nagar to Velachery (Chennai),1.47,9.0,Sunny,0,40.9,0
SRT-B-0216,Banjara Hills to Ameerpet (Hyderabad),2.36,5.0,Sunny,1,37.87,0
SRT-B-0217,Station to Adajan (Surat),2.17,9.0,Sunny,0,43.23,0
SRT-B-0218,Vesu to Varachha (Surat),3.82,9.0,Rainy,1,70.73,1
SRT-B-0219,Udhna to Pal (Surat),4.41,2.0,Foggy,0,30.7,0
SRT-B-0220,Rander to Piplod (Surat),0.68,3.0,Sunny,0,14.27,0
SRT-B-0221,Shivaji Nagar to Hinjewadi (Pune),1.82,5.0,Foggy,0,34.07,0
SRT-B-0222,Navrangpura to Maninagar (Ahmedabad),5.39,6.0,Sunny,0,41.97,0
SRT-B-0223,Alambagh to Charbagh (Lucknow),4.83,1.0,Foggy,0,28.1,0
SRT-B-0224,Patna Junction to Kankarbagh (Patna),3.97,8.0,Cloudy,0,45.23,0
SRT-B-0225,Sector 17 to Mohali (Chandigarh),0.98,7.0,Sunny,1,41.27,0
SRT-B-0226,Connaught Place to Karol Bagh (Delhi),3.4,1.0,Sunny,0,15.33,0
SRT-B-0227,Andheri East to Andheri West (Mumbai),5.26,2.0,Sunny,1,35.53,0
SRT-B-0228,Salt Lake to Esplanade (Kolkata),4.94,6.0,Sunny,0,40.47,0
SRT-B-0229,MG Road to Whitefield (Bengaluru),,4.0,Sunny,1,43.37,0
SRT-B-0230,T Nagar to Velachery (Chennai),8.54,10.0,Sunny,1,78.47,1
SRT-B-0231,Banjara Hills to Ameerpet (Hyderabad),3.92,7.0,Foggy,1,59.07,0
SRT-B-0232,Station to Adajan (Surat),7.86,8.0,Sunny,0,58.2,0
SRT-B-0233,Vesu to Varachha (Surat),2.39,8.0,Sunny,1,49.97,0
SRT-B-0234,Udhna to Pal (Surat),1.94,1.0,Cloudy,1,20.47,0
SRT-B-0235,Rander to Piplod (Surat),7.33,8.0,Rainy,1,78.43,1
SRT-B-0236,Shivaji Nagar to Hinjewadi (Pune),7.54,4.0,Foggy,0,49.13,0
SRT-B-0237,Navrangpura to Maninagar (Ahmedabad),3.89,7.0,Rainy,0,158.91,1
SRT-B-0238,Alambagh to Charbagh (Lucknow),,7.0,Rainy,0,43.8,0
SRT-B-0239,Patna Junction to Kankarbagh (Patna),7.94,2.0,Rainy,1,56.47,0
SRT-B-0240,Sector 17 to Mohali (Chandigarh),3.34,10.0,Rainy,0,63.13,1
SRT-B-0241,Connaught Place to Karol Bagh (Delhi),0.69,4.0,Cloudy,0,18.3,0
SRT-B-0242,Andheri East to Andheri West (Mumbai),5.15,2.0,Rainy,0,37.17,0
SRT-B-0243,Salt Lake to Esplanade (Kolkata),8.78,8.0,Sunny,0,61.27,1
SRT-B-0244,MG Road to Whitefield (Bengaluru),8.87,7.0,Rainy,0,69.57,1
SRT-B-0245,T Nagar to Velachery (Chennai),0.59,9.0,Cloudy,1,47.97,0
SRT-B-0246,Banjara Hills to Ameerpet (Hyderabad),2.62,6.0,Cloudy,0,32.73,0
SRT-B-0247,Station to Adajan (Surat),,2.0,Sunny,0,13.13,0
SRT-B-0248,Vesu to Varachha (Surat),8.26,5.0,Rainy,0,59.53,0
SRT-B-0249,Udhna to Pal (Surat),0.98,5.0,Cloudy,1,33.27,0
SRT-B-0250,Rander to Piplod (Surat),2.18,10.0,Sunny,0,47.27,0
SRT-B-0251,Shivaji Nagar to Hinjewadi (Pune),,8.0,Sunny,1,50.97,0
SRT-B-0252,Navrangpura to Maninagar (Ahmedabad),4.65,,Foggy,0,63.5,1
SRT-B-0253,Alambagh to Charbagh (Lucknow),3.69,10.0,Sunny,0,52.3,0
SRT-B-0254,Patna Junction to Kankarbagh (Patna),8.64,1.0,Sunny,1,42.8,0
SRT-B-0255,Sector 17 to Mohali (Chandigarh),2.51,5.0,Rainy,0,40.37,0
SRT-B-0256,Connaught Place to Karol Bagh (Delhi),8.27,7.0,Cloudy,1,65.57,1
SRT-B-0257,Andheri East to Andheri West (Mumbai),3.81,8.0,Foggy,1,62.7,1
SRT-B-0258,Salt Lake to Esplanade (Kolkata),2.25,4.0,Cloudy,0,23.5,0
SRT-B-0259,MG Road to Whitefield (Bengaluru),7.64,1.0,Cloudy,0,29.47,0
SRT-B-0260,T Nagar to Velachery (Chennai),3.27,10.0,Cloudy,0,50.9,0
SRT-B-0261,Banjara Hills to Ameerpet (Hyderabad),3.42,1.0,Cloudy,1,25.4,0
SRT-B-0262,Station to Adajan (Surat),4.14,7.0,Sunny,0,41.8,0
SRT-B-0263,Vesu to Varachha (Surat),0.42,,Sunny,0,13.4,0
SRT-B-0264,Udhna to Pal (Surat),,1.0,Sunny,1,25.67,0
SRT-B-0265,Rander to Piplod (Surat),4.24,8.0,Rainy,1,68.13,1
SRT-B-0266,Shivaji Nagar to Hinjewadi (Pune),6.93,5.0,Cloudy,1,53.1,0
SRT-B-0267,Navrangpura to Maninagar (Ahmedabad),2.55,9.0,Cloudy,1,54.5,0
SRT-B-0268,Alambagh to Charbagh (Lucknow),0.84,10.0,Sunny,1,52.8,0
SRT-B-0269,Patna Junction to Kankarbagh (Patna),8.36,7.0,Cloudy,0,55.87,0
SRT-B-0270,Sector 17 to Mohali (Chandigarh),3.09,5.0,Rainy,0,42.3,0
SRT-B-0271,Connaught Place to Karol Bagh (Delhi),1.39,7.0,Rainy,1,54.63,0
SRT-B-0272,Andheri East to Andheri West (Mumbai),0.87,3.0,Sunny,1,24.9,0
SRT-B-0273,Salt Lake to Esplanade (Kolkata),0.72,8.0,Sunny,0,34.4,0
SRT-B-0274,MG Road to Whitefield (Bengaluru),1.06,5.0,Cloudy,0,23.53,0
SRT-B-0275,T Nagar to Velachery (Chennai),3.88,7.0,Sunny,0,40.93,0
SRT-B-0276,Banjara Hills to Ameerpet (Hyderabad),7.2,9.0,Rainy,0,72.0,1
SRT-B-0277,Station to Adajan (Surat),4.07,2.0,Sunny,1,31.57,0
SRT-B-0278,Vesu to Varachha (Surat),0.58,7.0,Sunny,0,29.93,0
SRT-B-0279,Udhna to Pal (Surat),8.42,7.0,,0,56.07,0
SRT-B-0280,Rander to Piplod (Surat),1.16,5.0,,0,23.87,0
SRT-B-0281,Shivaji Nagar to Hinjewadi (Pune),2.74,,Rainy,0,57.13,0
SRT-B-0282,Navrangpura to Maninagar (Ahmedabad),4.02,5.0,Rainy,0,-20.0,0
SRT-B-0283,Alambagh to Charbagh (Lucknow),4.42,8.0,,0,46.73,0
SRT-B-0284,Patna Junction to Kankarbagh (Patna),2.41,9.0,Sunny,1,54.03,0
SRT-B-0285,Sector 17 to Mohali (Chandigarh),,1.0,Sunny,0,6.63,0
SRT-B-0286,Connaught Place to Karol Bagh (Delhi),,5.0,Rainy,0,60.77,1
SRT-B-0287,Andheri East to Andheri West (Mumbai),3.99,8.0,Rainy,1,67.3,1
SRT-B-0288,Salt Lake to Esplanade (Kolkata),,2.0,,1,45.23,0
SRT-B-0289,MG Road to Whitefield (Bengaluru),2.39,4.0,Rainy,0,35.97,0
SRT-B-0290,T Nagar to Velachery (Chennai),7.54,10.0,Sunny,0,65.13,1
SRT-B-0291,Banjara Hills to Ameerpet (Hyderabad),0.72,10.0,Rainy,0,54.4,0
SRT-B-0292,Station to Adajan (Surat),0.9,7.0,Rainy,1,53.0,0
SRT-B-0293,Vesu to Varachha (Surat),8.96,10.0,Cloudy,0,69.87,1
SRT-B-0294,Udhna to Pal (Surat),8.97,3.0,Rainy,0,53.9,0
