From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival
Khamgaon,Tuljapur,akash BUS AMRAVATI-Sangeetam 2x1,382,0:7:0,Non A/c,08:45:00 PM,03:45:00 AM
Khamgaon,Mumbai,akash BUS AMRAVATI-2x1 a/c air sus-lcd,543,0:11:0,A/c,09:15:00 PM,08:15:00 AM
Khamgaon,Pune,Rachna Travels,436,0:10:54,Non A/c,09:50:00 PM,08:44:00 AM
Khamgaon,Pune,Sangeetam Travels,436,0:10:54,A/c,09:00:00 PM,07:54:00 AM
Khamgaon,Pune,akash BUS AMRAVATI,436,0:6:0,Non A/c,09:00:00 PM,03:00:00 AM
Khamgaon,Pune,akash BUS AMRAVATI,436,0:8:30,A/c,11:00:00 PM,07:30:00 AM
Khamgaon,Pune,akash BUS AMRAVATI,436,0:6:0,Non A/c,12:00:00 AM,06:00:00 AM
Khamgaon,Pune,akash BUS AMRAVATI,436,0:8:30,Non A/c,09:45:00 PM,06:15:00 AM
Khamgaon,Dhule,Vidarbha Express,223,0:5:35,Non A/c,09:00:00 PM,02:35:00 AM
Akot,Malegaon,Sheetal Travels Akola,80,0:2:0,Non A/c,07:00:00 PM,09:00:00 PM
Akot,Shegaon,Sheetal Travels Akola,56,0:2:0,Non A/c,05:00:00 PM,07:00:00 PM
Akot,Shegaon,Sheetal Travels Akola,56,0:2:45,Non A/c,06:15:00 PM,09:00:00 PM
Akot,Shegaon,Sheetal Travels Akola,56,0:2:30,Non A/c,04:00:00 PM,06:30:00 PM
Akot,Mehkar,Sheetal Travels Akola,154,0:3:30,Non A/c,07:00:00 PM,10:30:00 PM
Akot,Aurangabad,Sheetal Travels Akola,273,0:7:0,Non A/c,04:00:00 PM,11:00:00 PM
Akot,Jalna,Sheetal Travels Akola,217,0:6:0,Non A/c,04:00:00 PM,10:00:00 PM
Akot,Jalna,Sheetal Travels Akola,217,0:6:30,Non A/c,05:00:00 PM,11:30:00 PM
Akot,Khamgaon,Sheetal Travels Akola,74,0:3:0,Non A/c,04:00:00 PM,07:00:00 PM
Akot,Khamgaon,Sheetal Travels Akola,74,0:3:15,Non A/c,06:15:00 PM,09:30:00 PM
Akot,Khamgaon,Sheetal Travels Akola,74,0:3:0,Non A/c,05:00:00 PM,08:00:00 PM
Akot,Akola,Sheetal Travels Akola,47,0:1:45,Non A/c,06:15:00 PM,08:00:00 PM
Akot,Akola,Sheetal Travels Akola,47,0:1:30,Non A/c,07:00:00 PM,08:30:00 PM
Akot,Akola,Sheetal Travels Akola,47,0:1:30,Non A/c,05:00:00 PM,06:30:00 PM
Akot,Akola,Sheetal Travels Akola,47,0:1:30,Non A/c,04:00:00 PM,05:30:00 PM
Akot,Patur,Sheetal Travels Akola,77,0:1:30,Non A/c,07:00:00 PM,08:30:00 PM
Hosur,Sathyamangalam,Kings Travels,217,0:5:25,"2+1, Sleeper/Seater, Non-AC",11:30:00 PM,04:55:00 AM
Hosur,Marayur,Srs Travels (SRS Travels),340,0:8:30,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,07:00:00 AM
Hosur,Karaikal,Srs Travels (SRS Travels),320,0:8:0,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,07:30:00 AM
Hosur,Karaikal,KPN Travels,370,0:9:15,2+2 : NON A/C S.S 31,10:15:00 PM,07:30:00 AM
Hosur,Vaikom,Kallada Travels,310,0:7:45,SEMI SLEEPER,09:05:00 PM,04:50:00 AM
Hosur,Adoor,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM
Hosur,Adoor,Srs Travels (SRS Travels),480,0:12:0,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,06:45:00 AM
Hosur,Tirumangalam,Srs Travels (SRS Travels),340,0:8:30,"2+2, Semi Sleeper, Non-AC, Video",11:00:00 PM,07:30:00 AM
Hosur,Thakkalai,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:10:00 PM,09:19:00 AM
Hosur,Periyakulam,Royal Travels,255,0:6:23,RoyalSemiSleeper,08:45:00 PM,03:08:00 AM
Hosur,Periyakulam,Srs Travels (SRS Travels),330,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,05:00:00 AM
Hosur,Perumbavoor,Kallada Travels,3009,3:3:14,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,11:04:00 PM
Hosur,Perumbavoor,Srs Travels (SRS Travels),390,0:9:45,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,04:30:00 AM
Hosur,Perumbavoor,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM
Hosur,Perumbavoor,Kallada Travels,278,0:6:57,SEMI SLEEPER CUM SLEEPER,06:55:00 PM,01:52:00 AM
Hosur,Perumbavoor,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM
Hosur,Vathalagundu,Srs Travels (SRS Travels),310,0:7:45,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,04:30:00 AM
Hosur,Moonupeedika,Kallada Travels,301,0:7:32,SEMI SLEEPER,09:40:00 PM,05:12:00 AM
Hosur,Perundurai,Kallada Travels,185,0:4:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 AM,02:23:00 PM
Hosur,Perundurai,Kallada Travels,199,0:4:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,07:44:00 PM
Hosur,Theni,KPN Travels,330,0:8:15,BERTH SLEEPER A/C : 29,10:45:00 PM,07:00:00 AM
Hosur,Theni,Kallada Travels,294,0:7:21,SEMI SLEEPER CUM SLEEPER,08:20:00 PM,03:41:00 AM
Hosur,Theni,Royal Travels,255,0:6:23,RoyalSemiSleeper,08:45:00 PM,03:08:00 AM
Hosur,Theni,Srs Travels (SRS Travels),353,0:8:50,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,05:35:00 AM
Hosur,Theni,Kallada Travels,394,0:9:51,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 PM,07:36:00 AM
Hosur,Madathukulam,Srs Travels (SRS Travels),260,0:6:30,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,05:00:00 AM
Hosur,Mettupalayam,KPN Travels,240,0:6:0,2+2 : 33 S.S NON A/C,11:00:00 PM,05:00:00 AM
Hosur,Udumalpet,Srs Travels (SRS Travels),270,0:6:45,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,06:30:00 AM
Hosur,Udumalpet,KPN Travels,320,0:8:0,BERTH SLEEPER A/C : 29,11:30:00 PM,07:30:00 AM
Hosur,Udumalpet,KPN Travels,440,0:11:0,2+2 : 33 S.S NON A/C,11:00:00 PM,10:00:00 AM
Hosur,Udumalpet,Srs Travels (SRS Travels),280,0:7:0,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,05:30:00 AM
Hosur,Monipalli,Kallada Travels,315,0:7:53,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,03:43:00 AM
Hosur,Monipalli,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM
Hosur,Thiruvarur,KPN Travels,400,0:10:0,2+2 S.S NON A/C : 31,09:45:00 PM,07:45:00 AM
Hosur,Thiruvarur,KPN Travels,360,0:9:0,BERTH SLEEPER A/C : 29,09:15:00 PM,06:15:00 AM
Hosur,Alleppey,Kallada Travels,347,0:8:41,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:26:00 AM
Hosur,Alleppey,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:24:00 AM
Hosur,Alleppey,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,10:09:00 AM
Hosur,Alleppey,Kallada Travels,324,0:8:6,SEMI SLEEPER,06:00:00 PM,02:06:00 AM
Hosur,Alleppey,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,02:54:00 AM
Hosur,Alleppey,Bharathi Travels,350,0:8:45,"2+2, Mercedes Benz Multi Axle/Semi-Sleeper, AC, Video",09:45:00 PM,06:30:00 AM
Hosur,Alleppey,KPN Travels,390,0:9:45,2+2 VOLVO A/C(MULTI AXLE) : 44,07:15:00 PM,05:00:00 AM
Hosur,Munnar,Srs Travels (SRS Travels),330,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,06:45:00 AM
Hosur,Munnar,Kallada Travels,352,0:8:48,SEMI SLEEPER CUM SLEEPER,08:20:00 PM,05:08:00 AM
Hosur,Munnar,Royal Travels,324,0:8:6,RoyalSemiSleeper,08:45:00 PM,04:51:00 AM
Hosur,Viruthunagar,Kallada Travels,370,0:9:15,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:10:00 PM,06:25:00 AM
Hosur,Allappuzha,Kallada Travels,347,0:8:41,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:26:00 AM
Hosur,Allappuzha,Kallada Travels,324,0:8:6,SEMI SLEEPER,06:00:00 PM,02:06:00 AM
Hosur,Allappuzha,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:24:00 AM
Hosur,Allappuzha,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,02:54:00 AM
Hosur,Allappuzha,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,10:09:00 AM
Hosur,Koratty,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM
Hosur,Chalakkudi,Bharathi Travels,290,0:7:15,"2+2, Mercedes Benz Multi Axle/Semi-Sleeper, AC, Video",09:45:00 PM,05:00:00 AM
Hosur,Chalakkudi,Srs Travels (SRS Travels),370,0:9:15,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,04:00:00 AM
Hosur,Karunagapilly,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,03:29:00 AM
Hosur,Karunagapilly,Kallada Travels,356,0:8:54,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:39:00 AM
Hosur,Karunagapilly,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:59:00 AM
Hosur,Karunagapilly,Kallada Travels,338,0:8:27,SEMI SLEEPER,06:00:00 PM,02:27:00 AM
Hosur,Pathanamthitta,Kallada Travels,333,0:8:20,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,04:10:00 AM
Hosur,Pathanamthitta,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM
Hosur,Kadayanallur,Srs Travels (SRS Travels),320,0:8:0,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,06:15:00 AM
Hosur,Gobichettipalayam,Kings Travels,190,0:4:45,"2+1, Sleeper/Seater, Non-AC",11:30:00 PM,04:15:00 AM
Hosur,Chengannur,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM
Hosur,Chengannur,Srs Travels (SRS Travels),460,0:11:30,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,06:15:00 AM
Hosur,Kollam,Kallada Travels,338,0:8:27,SEMI SLEEPER,06:00:00 PM,02:27:00 AM
Hosur,Kollam,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:59:00 AM
Hosur,Kollam,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,03:29:00 AM
Hosur,Kollam,Kallada Travels,356,0:8:54,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:39:00 AM
Hosur,Kollam,KPN Travels,450,0:11:15,2+2 VOLVO A/C(MULTI AXLE) : 44,07:15:00 PM,06:30:00 AM
Hosur,Tirupur,KPN Travels,230,0:5:45,2+1 NON A/C S.S : 28,11:45:00 PM,05:30:00 AM
Hosur,Tirupur,Srs Travels (SRS Travels),240,0:6:0,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,05:45:00 AM
Hosur,Tirupur,KPN Travels,220,0:5:30,2+2 VOLVO A/C(MULTI AXLE) : 44,04:00:00 PM,09:30:00 PM
Hosur,Tirupur,KPN Travels,260,0:6:30,BERTH SLEEPER A/C : 29,11:30:00 PM,06:00:00 AM
Hosur,Tirupur,Sachin Travels,240,0:6:0,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,06:00:00 AM
Hosur,Tirupur,Kallada Travels,185,0:4:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 AM,02:23:00 PM
Hosur,Tirupur,Kallada Travels,218,0:5:27,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,08:12:00 PM
Hosur,Chavadi,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:05:00 AM
Hosur,Chavadi,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,09:35:00 AM
Hosur,Chavadi,Kallada Travels,273,0:6:50,SEMI SLEEPER,09:40:00 PM,04:30:00 AM
Hosur,Chavadi,Kallada Travels,370,0:9:15,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,12:00:00 AM
Hosur,Chavadi,Kallada Travels,417,0:10:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:15:00 PM,09:41:00 AM
Hosur,Chavadi,Kallada Travels,227,0:5:41,SLEEPER CUM SEMI SLEEPER,10:20:00 PM,04:01:00 AM
Hosur,Chavadi,Kallada Travels,204,0:5:6,SEMI SLEEPER,09:05:00 PM,02:11:00 AM
Hosur,Chavadi,Kallada Travels,204,0:5:6,SEMI SLEEPER CUM SLEEPER,08:10:00 PM,01:16:00 AM
Hosur,Thirunallar,Srs Travels (SRS Travels),340,0:8:30,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,08:00:00 AM
Hosur,Kodakara,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,08:50:00 AM
Hosur,Parasala,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:10:00 PM,09:19:00 AM
Hosur,Batlagundu,Kallada Travels,280,0:7:0,SEMI SLEEPER CUM SLEEPER,08:20:00 PM,03:20:00 AM
Hosur,Batlagundu,KPN Travels,290,0:7:15,BERTH SLEEPER A/C : 29,10:45:00 PM,06:00:00 AM
Hosur,Tutucorin,KPN Travels,450,0:11:15,BERTH SLEEPER A/C : 29,07:45:00 PM,07:00:00 AM
Hosur,Tutucorin,Srs Travels (SRS Travels),340,0:8:30,"2+1, Sleeper, Non-AC, Non-Video",10:00:00 PM,06:30:00 AM
Hosur,Tutucorin,SRM Transports India Private Limited,356,0:8:54,Sleeper,09:30:00 PM,06:24:00 AM
Hosur,Tutucorin,KPN Travels,450,0:11:15,2+1: 31 S.S NON A/C,07:15:00 PM,06:30:00 AM
Hosur,Tutucorin,KPN Travels,430,0:10:45,2+2 VOLVO A/C(MULTI AXLE) : 44,08:15:00 PM,07:00:00 AM
Hosur,Nedugandam,Royal Travels,301,0:7:32,RoyalSemiSleeper,08:45:00 PM,04:17:00 AM
Hosur,Tenkasi,KPN Travels,460,0:11:30,BERTH SLEEPER NON A/C :29,08:00:00 PM,07:30:00 AM
Hosur,Tenkasi,Srs Travels (SRS Travels),310,0:7:45,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,06:00:00 AM
Hosur,Erode,Srs Travels (SRS Travels),200,0:5:0,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,04:45:00 AM
Hosur,Erode,Sachin Travels,200,0:5:0,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,05:00:00 AM
Hosur,Erode,KPN Travels,190,0:4:45,2+2 VOLVO A/C(MULTI AXLE) : 44,04:00:00 PM,08:45:00 PM
Hosur,Erode,KPN Travels,160,0:4:0,2+2 VOLVO A/C(MULTI AXLE) : 44,09:00:00 AM,01:00:00 PM
Hosur,Erode,Kallada Travels,185,0:4:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 AM,02:23:00 PM
Hosur,Erode,Kallada Travels,199,0:4:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,07:44:00 PM
Hosur,Trichy,KPN Travels,310,0:7:45,2+2 S.S NON A/C : 31,09:15:00 PM,05:00:00 AM
Hosur,Trichy,KPN Travels,270,0:6:45,2+2 S.S NON A/C : 31,09:45:00 PM,04:30:00 AM
Hosur,Trichy,KPN Travels,270,0:6:45,2+2 VOLVO A/C(MULTI AXLE) : 44,02:15:00 PM,09:00:00 PM
Hosur,Karur,Royal Travels,213,0:5:20,RoyalTravels(2+2),11:45:00 PM,05:05:00 AM
Hosur,Karur,Royal Travels,213,0:5:20,RoyalSemisleeper,10:30:00 PM,03:50:00 AM
Hosur,Karur,Kallada Travels,266,0:6:39,SEMI SLEEPER CUM SLEEPER,08:20:00 PM,02:59:00 AM
Hosur,Karur,KPN Travels,170,0:4:15,2+2 VOLVO A/C(MULTI AXLE) : 44,10:45:00 AM,03:00:00 PM
Hosur,Karur,Srs Travels (SRS Travels),260,0:6:30,"2+1, Sleeper, Non-AC, Non-Video",11:30:00 PM,06:00:00 AM
Hosur,Karur,Srs Travels (SRS Travels),210,0:5:15,"2+1, Sleeper, Non-AC, Non-Video",07:45:00 PM,01:00:00 AM
Hosur,Karur,Srs Travels (SRS Travels),160,0:4:0,"2+2, Semi Sleeper, Non-AC, Video",11:00:00 PM,03:00:00 AM
Hosur,Karur,KPN Travels,190,0:4:45,2+2 A/C MULTI AXLE : 44,01:45:00 PM,06:30:00 PM
Hosur,Karur,Royal Travels,213,0:5:20,RoyalSemiSleeper,08:45:00 PM,02:05:00 AM
Hosur,Kalady,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM
Hosur,Kalady,Kallada Travels,301,0:7:32,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,03:22:00 AM
Hosur,Kalady,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM
Hosur,Kalady,Kallada Travels,278,0:6:57,SEMI SLEEPER CUM SLEEPER,06:55:00 PM,01:52:00 AM
Hosur,Goa,Seabird Tourists,580,0:14:30,"2+2, Multi Axle Volvo SemiSleeper, AC, Video",08:00:00 PM,10:30:00 AM
Hosur,Vellore,Shama sardar Travels,140,0:3:30,Volvo A/C Semi Sleeper Multi axle (2+2),05:30:00 PM,09:00:00 PM
Hosur,Sirikali,Srs Travels (SRS Travels),303,0:7:35,"2+1, Sleeper, Non-AC, Non-Video",11:55:00 PM,07:30:00 AM
Hosur,Sirikali,Srs Travels (SRS Travels),360,0:9:0,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,08:30:00 AM
Hosur,Salem,Sachin Travels,140,0:3:30,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,03:30:00 AM
Hosur,Salem,Kallada Travels,162,0:4:3,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,06:48:00 PM
Hosur,Salem,Kallada Travels,162,0:4:3,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 AM,01:48:00 PM
Hosur,Salem,Srs Travels (SRS Travels),113,0:2:50,"2+1, Sleeper, Non-AC, Non-Video",11:55:00 PM,02:45:00 AM
Hosur,Salem,KPN Travels,185,0:4:38,2+2 VOLVO A/C(MULTI AXLE) : 44,09:00:00 AM,12:00:00 AM
Hosur,Salem,KPN Travels,150,0:3:45,2+2 VOLVO A/C(MULTI AXLE) : 44,04:00:00 PM,07:45:00 PM
Hosur,Salem,Srs Travels (SRS Travels),110,0:2:45,"2+1, Sleeper, Non-AC, Non-Video",07:45:00 PM,10:30:00 PM
Hosur,Salem,Srs Travels (SRS Travels),140,0:3:30,"2+1, Sleeper, Non-AC, Non-Video",11:30:00 PM,03:00:00 AM
Hosur,Salem,Srs Travels (SRS Travels),100,0:2:30,"2+2, Semi Sleeper, Non-AC, Video",11:00:00 PM,01:30:00 AM
Hosur,Salem,Srs Travels (SRS Travels),190,0:4:45,"2+1, Sleeper, Non-AC, Non-Video",10:45:00 PM,03:30:00 AM
Hosur,Salem,KPN Travels,140,0:3:30,2+2 VOLVO A/C(MULTI AXLE) : 44,07:30:00 AM,11:00:00 AM
Hosur,Palladam,Srs Travels (SRS Travels),230,0:5:45,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,05:30:00 AM
Hosur,Kanyakumari,Srs Travels (SRS Travels),527,0:13:10,"2+1, Sleeper, Non-AC, Non-Video",07:45:00 PM,08:55:00 AM
Hosur,Kanyakumari,Royal Travels,343,0:8:35,Royal,07:00:00 PM,03:35:00 AM
Hosur,Kanyakumari,KPN Travels,540,0:13:30,2+1: 31 S.S NON A/C,07:00:00 PM,08:30:00 AM
Hosur,Rajapalayam,Royal Travels,241,0:6:2,RoyalSemisleeper,10:30:00 PM,04:32:00 AM
Hosur,Rajapalayam,Srs Travels (SRS Travels),350,0:8:45,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,07:00:00 AM
Hosur,T.Kallupatti,Srs Travels (SRS Travels),330,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,06:30:00 AM
